id,field_legacy_id,blog_name,source_type,source_term,rename_term,ignore_term,person,movie,tv,book,music,stage,web_series,video_game,taxonomy_genre,taxonomy_ew_franchise,taxonomy_franchise,taxonomy_event,taxonomy_freeform,taxonomy_category
1039,shelflife_2610877,shelflife,tag,"""Best American"" series",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,shelflife_64079,shelflife,tag,"""Chick lit?????""",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12434,insidemovies_1577026,insidemovies,tag,"""I'll be back!""",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12435,insidemovies_4092,insidemovies,tag,"""Men",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9135,musicmix_164091413,musicmix,tag,"""Show 'Em (What You're Made Of)""",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2685,popwatch_45809368,popwatch,tag,#IAMSORRY,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2686,popwatch_207108506,popwatch,tag,"#RichKids of Beverly Hills",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2687,popwatch_1515155,popwatch,tag,#TBT,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9136,musicmix_221659394,musicmix,tag,#ThisCouldBeUsButYouPlayin,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9137,musicmix_372040,musicmix,tag,#willpower,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2688,popwatch_711100,popwatch,tag,#yolo,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12436,insidemovies_52519585,insidemovies,tag,"'80s delinquent B movies that foretell the future",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12437,insidemovies_11727047,insidemovies,tag,"'80s remakes",,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9138,musicmix_47352,musicmix,tag,'90s,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38089,insidetv_39278,insidetv,tag,'Luck',,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36190,newsbriefs_805545,newsbriefs,tag,"'N Sync",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2689,popwatch_805545,popwatch,tag,"'N Sync",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2690,popwatch_5791229,popwatch,tag,"'The Sunshine Boys'",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2691,popwatch_47091574,popwatch,tag,"'Top Chef' Hidden Truffles",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40188,insidemovies_10193045,insidemovies,tag,"(500) Days of Summer","500 Days of Summer",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2692,popwatch_27536934,popwatch,tag,"(Give Me That) Old Time Religion",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,shelflife_29451399,shelflife,category,"- AD Tags (Package Headers)",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42794,insidemovies_29451399,insidemovies,category,"- AD Tags (Package Headers)",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42590,popwatch_29451399,popwatch,category,"- AD Tags (Package Headers)",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42643,newsbriefs_29451399,newsbriefs,category,"- AD Tags (Package Headers)",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42692,musicmix_29451399,musicmix,category,"- AD Tags (Package Headers)",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42744,insidetv_29451399,insidetv,category,"- AD Tags (Package Headers)",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,popwatch_66020199,popwatch,category,"- AD: American Horror Story","American Horror Story",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42644,newsbriefs_66020199,newsbriefs,category,"- AD: American Horror Story","American Horror Story",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42745,insidetv_66020199,insidetv,category,"- AD: American Horror Story","American Horror Story",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,shelflife_23159990,shelflife,category,"- AD: American Idol","American Idol",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42795,insidemovies_23159990,insidemovies,category,"- AD: American Idol","American Idol",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42591,popwatch_23159990,popwatch,category,"- AD: American Idol","American Idol",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42645,newsbriefs_23159990,newsbriefs,category,"- AD: American Idol","American Idol",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42693,musicmix_23159990,musicmix,category,"- AD: American Idol","American Idol",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42746,insidetv_23159990,insidetv,category,"- AD: American Idol","American Idol",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,shelflife_25669552,shelflife,category,"- AD: Behind the Scenes",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42592,popwatch_25669552,popwatch,category,"- AD: Behind the Scenes",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42646,newsbriefs_25669552,newsbriefs,category,"- AD: Behind the Scenes",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42694,musicmix_25669552,musicmix,category,"- AD: Behind the Scenes",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,shelflife_47865014,shelflife,category,"- AD: Best of Summer",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42796,insidemovies_47865014,insidemovies,category,"- AD: Best of Summer",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42647,newsbriefs_47865014,newsbriefs,category,"- AD: Best of Summer",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42695,musicmix_47865014,musicmix,category,"- AD: Best of Summer",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42747,insidetv_47865014,insidetv,category,"- AD: Best of Summer",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,shelflife_28487684,shelflife,category,"- AD: Best of the Decade",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42797,insidemovies_28487684,insidemovies,category,"- AD: Best of the Decade",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42593,popwatch_28487684,popwatch,category,"- AD: Best of the Decade",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42648,newsbriefs_28487684,newsbriefs,category,"- AD: Best of the Decade",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42696,musicmix_28487684,musicmix,category,"- AD: Best of the Decade",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,shelflife_47972581,shelflife,category,"- AD: Best of xxxx",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42798,insidemovies_47972581,insidemovies,category,"- AD: Best of xxxx",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42594,popwatch_47972581,popwatch,category,"- AD: Best of xxxx",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42649,newsbriefs_47972581,newsbriefs,category,"- AD: Best of xxxx",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42697,musicmix_47972581,musicmix,category,"- AD: Best of xxxx",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42748,insidetv_47972581,insidetv,category,"- AD: Best of xxxx",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,shelflife_24214256,shelflife,category,"- AD: Best Worst",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42799,insidemovies_24214256,insidemovies,category,"- AD: Best Worst",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42650,newsbriefs_24214256,newsbriefs,category,"- AD: Best Worst",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42698,musicmix_24214256,musicmix,category,"- AD: Best Worst",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42749,insidetv_24214256,insidetv,category,"- AD: Best Worst",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,popwatch_40555104,popwatch,category,"- AD: Big Brother","Big Brother",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
167,insidemovies_23159628,insidemovies,category,"- AD: Box Office",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42800,insidemovies_44228265,insidemovies,category,"- AD: Cast Reunions",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
